,Drivetrain,Engine,Exterior,HWY,Interior,Mileage,Original Price,Sales Price,Stock #,Trans,Vehicle Name,Vin #,Year,Location
0, Front Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Mountain Grey, 37 MPG                                          |                              CITY, Black MB-Tex," 9,188","            $38,240          ","             $32,578          ", R20899, 7-Speed Auto-Shift Manual w/OD,Mercedes-Benz CLA 250 Front Wheel Drive, WDDSJ4EBXKN742067,2019,"El Dorado Hills, CA        "
1, AWD 4MATIC®, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 31 MPG                                          |                              CITY, Black MB-Tex," 5,814","            $39,395          ","             $34,298          ", R20910, 7-Speed Auto-Shift Manual w/OD,Mercedes-Benz GLA 250 AWD 4MATIC®, WDCTG4GB9KJ551848,2019,"El Dorado Hills, CA        "
2, Front Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Night Black, 37 MPG                                          |                              CITY, Black MB-Tex," 5,798","            $35,145          ","             $32,452          ", R20964, 7-Speed Auto-Shift Manual w/OD,Mercedes-Benz CLA 250 Front Wheel Drive, WDDSJ4EB5KN708246,2019,"El Dorado Hills, CA        "
3, AWD 4MATIC®, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Brilliant Blue Metallic, 28 MPG                                          |                              CITY, Black MB-Tex," 4,985","            $47,991          ","             $39,995          ", R20979, 9-Speed Automatic w/OD,Mercedes-Benz GLC 300 AWD 4MATIC®, WDC0G4KB8JV070443,2018,"El Dorado Hills, CA        "
4, Rear Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Black, 33 MPG                                          |                              CITY, Silk Beige MB-Tex," 6,866","            $45,175          ","             $36,892          ", R20811, 9-Speed Automatic w/OD,Mercedes-Benz C 300 Rear Wheel Drive, 55SWF4JB3JU280062,2018,"El Dorado Hills, CA        "
5, AWD 4MATIC®, Twin Turbo Premium Unleaded V-6 3.0 L/183, Black, 23 MPG                                          |                              CITY, Black MB-Tex," 9,334","            $61,650          ","             $51,983          ", R20987, 9-Speed Automatic w/OD,Mercedes-Benz GLE 400 AWD 4MATIC®, 4JGDA5GB7KB212111,2019,"El Dorado Hills, CA        "
6, Front Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Night Black, 37 MPG                                          |                              CITY, Black MB-Tex," 5,006","            $39,095          ","             $34,332          ", R20990, 7-Speed Auto-Shift Manual w/OD,Mercedes-Benz CLA 250 Front Wheel Drive, WDDSJ4EB5KN714435,2019,"El Dorado Hills, CA        "
7, Rear Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Emerald Green Metallic, 34 MPG                                          |                              CITY, Silk Beige MB-Tex," 7,405","            $45,095          ","             $38,079          ", R20988, 9-Speed Automatic w/OD,Mercedes-Benz C 300 Rear Wheel Drive, 55SWF8DB9KU286789,2019,"El Dorado Hills, CA        "
8, AWD 4MATIC®, Twin Turbo Premium Unleaded V-6 3.0 L/183, Polar White, 22 MPG                                          |                              CITY, Black MB-Tex," 7,881","            $79,520          ","             $67,922          ", R20986, 9-Speed Automatic w/OD,Mercedes-Benz GLS 450 AWD 4MATIC®, 4JGDF6EE3KB205371,2019,"El Dorado Hills, CA        "
9, Rear Wheel Drive, Intercooled Turbo Gas/Electric I-4 2.0 L/121, Black,, Black MB-Tex," 20,070","            $33,995          ","             $26,992          ", R20992, 7-Speed Automatic w/OD,Mercedes-Benz C 350 Rear Wheel Drive, 55SWF4HB3GU152726,2016,"El Dorado Hills, CA        "
10, AWD, Twin Turbo Premium Unleaded V-8 4.4 L/268, BLACK, 24 MPG                                          |                              CITY, Brown," 29,928","            $69,995          ","             $64,322          ", R21005, 8-Speed Automatic w/OD,BMW 6 Series ALPINA B6 G/CP AWD AWD, WBA6D6C54GGK18191,2016,"El Dorado Hills, CA        "
11, Rear Wheel Drive, Twin Turbo Premium Unleaded V-8 4.7 L/285, Selenite Grey Metallic, 26 MPG                                          |                              CITY, Black Leather w/ white contrast stitching," 40,272","            $54,991          ","             $49,222          ", R21011, 9-Speed Automatic w/OD,Mercedes-Benz CLS 550 Rear Wheel Drive, WDDLJ7DB3GA164982,2016,"El Dorado Hills, CA        "
12, FWD, Gas/Electric I-4 2.5 L/152, Gray, 39 MPG                                          |                              CITY, Black," 32,578","            $35,995          ","             $31,422          ", R21024, 1-Speed CVT w/OD,Lexus ES ES 300h FWD, JTHBW1GG7H2138004,2017,"El Dorado Hills, CA        "
13, Front Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Cirrus White, 37 MPG                                          |                              CITY, Black MB-Tex," 8,964","            $32,995          ","             $28,992          ", R21031, 7-Speed Auto-Shift Manual w/OD,Mercedes-Benz CLA 250 Front Wheel Drive, WDDSJ4EB7JN536137,2018,"El Dorado Hills, CA        "
14, AWD, Premium Unleaded V-6 3.5 L/212, Gray, 26 MPG                                          |                              CITY, Black," 13,122","            $49,995          ","             $45,922          ", R21035, 9-Speed Automatic w/OD,Acura MDX w/Advance Pkg AWD AWD, 5J8YD4H89JL024615,2018,"El Dorado Hills, CA        "
15, AWD 4MATIC®, Intercooled Turbo Gas/Electric I-4 2.0 L/121, Selenite Grey Metallic,, Black MB-Tex," 31,299","            $53,945          ","             $49,622          ", R21037, 7-Speed Automatic w/OD,Mercedes-Benz GLC 350 AWD 4MATIC®, WDC0G5EB7JF406286,2018,"El Dorado Hills, CA        "
16, Front Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Mountain Grey, 38 MPG                                          |                              CITY, Black MB-Tex w/ DINAMICA," 53,671","            $23,995          ","             $21,982          ", R21040, 7-Speed Auto-Shift Manual w/OD,Mercedes-Benz CLA 250 Front Wheel Drive, WDDSJ4EB1EN120932,2014,"El Dorado Hills, CA        "
17, Rear Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 34 MPG                                          |                              CITY, Black MB-Tex," 8,395","            $46,575          ","             $41,995          ", R21041, 9-Speed Automatic w/OD,Mercedes-Benz C 300 Rear Wheel Drive, 55SWF8DBXKU295565,2019,"El Dorado Hills, CA        "
18, Rear Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Selenite Grey Metallic, 27 MPG                                          |                              CITY, Black MB-Tex," 8,020","            $47,385          ","             $41,286          ", R21042, 9-Speed Automatic w/OD,Mercedes-Benz GLC 300 Rear Wheel Drive, WDC0G4JB3K1001119,2019,"El Dorado Hills, CA        "
19, Rear Wheel Drive, Premium Unleaded V-6 3.5 L/213, Polar White, 25 MPG                                          |                              CITY, Sahara Beige/Mocha MB-Tex," 35,519","            $27,792          ","             $26,312          ", R21048, 7-Speed Automatic w/OD,Mercedes-Benz GLK 350 Rear Wheel Drive, WDCGG5HB0FG424074,2015,"El Dorado Hills, CA        "
0, AWD 4MATIC®, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Night Black, 32 MPG                                          |                              CITY, Black MB-Tex," 23,463","            $38,240          ","             $32,578          ", R20899, 7-Speed Auto-Shift Manual w/OD,Mercedes-Benz CLA 250 Front Wheel Drive, WDDSJ4EBXKN742067,2019,"El Dorado Hills, CA        "
1, Rear Wheel Drive, Premium Unleaded V-6 3.5 L/213, Iridium Silver, 29 MPG                                          |                              CITY, Black MB-Tex," 36,255","            $39,395          ","             $34,298          ", R20910, 7-Speed Automatic w/OD,Mercedes-Benz GLA 250 AWD 4MATIC®, WDCTG4GB9KJ551848,2019,"El Dorado Hills, CA        "
2, Rear Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Lunar Blue Metallic, 34 MPG                                          |                              CITY, Luxury Silk BeigeEspresso MB-Tex," 13,481","            $35,145          ","             $32,452          ", R20964, 7-Speed Automatic w/OD,Mercedes-Benz CLA 250 Front Wheel Drive, WDDSJ4EB5KN708246,2019,"El Dorado Hills, CA        "
3, Rear Wheel Drive, Twin Turbo Premium Unleaded V-8 4.7 L/285, designo Diamond White Metallic, 26 MPG                                          |                              CITY, Saddle Brown / Black Leather," 35,947","            $47,991          ","             $39,995          ", R20979, 9-Speed Automatic w/OD,Mercedes-Benz GLC 300 AWD 4MATIC®, WDC0G4KB8JV070443,2018,"El Dorado Hills, CA        "
4, Front Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Mountain Grey, 37 MPG                                          |                              CITY, Crystal Grey MB-Tex," 8,760","            $45,175          ","             $36,892          ", R20811, 7-Speed Auto-Shift Manual w/OD,Mercedes-Benz C 300 Rear Wheel Drive, 55SWF4JB3JU280062,2018,"El Dorado Hills, CA        "
5, AWD 4MATIC®, Twin Turbo Premium Unleaded V-6 3.0 L/183, Obsidian Black Metallic, 23 MPG                                          |                              CITY, Black Leather," 37,788","            $61,650          ","             $51,983          ", R20987, 9-Speed Automatic w/OD,Mercedes-Benz GLE 400 AWD 4MATIC®, 4JGDA5GB7KB212111,2019,"El Dorado Hills, CA        "
6, Rear Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 34 MPG                                          |                              CITY, Black MB-Tex," 8,314","            $39,095          ","             $34,332          ", R20990, 9-Speed Automatic w/OD,Mercedes-Benz CLA 250 Front Wheel Drive, WDDSJ4EB5KN714435,2019,"El Dorado Hills, CA        "
7, Rear Wheel Drive, Premium Unleaded V-6 3.5 L/213, Black, 24 MPG                                          |                              CITY, Black MB-Tex," 38,951","            $45,095          ","             $38,079          ", R20988, 7-Speed Automatic w/OD,Mercedes-Benz C 300 Rear Wheel Drive, 55SWF8DB9KU286789,2019,"El Dorado Hills, CA        "
8, Rear Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Brilliant Blue Metallic, 30 MPG                                          |                              CITY, Crystal Grey MB-Tex," 35,552","            $79,520          ","             $67,922          ", R20986, 7-Speed Automatic w/OD,Mercedes-Benz GLS 450 AWD 4MATIC®, 4JGDF6EE3KB205371,2019,"El Dorado Hills, CA        "
9, Rear Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Diamond Silver Metallic, 28 MPG                                          |                              CITY, Silk Beige MB-Tex," 27,301","            $33,995          ","             $26,992          ", R20992, 9-Speed Automatic w/OD,Mercedes-Benz C 350 Rear Wheel Drive, 55SWF4HB3GU152726,2016,"El Dorado Hills, CA        "
10, Rear Wheel Drive, Premium Unleaded V-6 3.5 L/213, Lunar Blue, 29 MPG                                          |                              CITY, Silk Beige MB-Tex," 33,324","            $69,995          ","             $64,322          ", R21005, 7-Speed Automatic w/OD,BMW 6 Series ALPINA B6 G/CP AWD AWD, WBA6D6C54GGK18191,2016,"El Dorado Hills, CA        "
11, Rear Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, designo Cardinal Red Metallic, 28 MPG                                          |                              CITY, Silk Beige MB-Tex," 22,377","            $54,991          ","             $49,222          ", R21011, 9-Speed Automatic w/OD,Mercedes-Benz CLS 550 Rear Wheel Drive, WDDLJ7DB3GA164982,2016,"El Dorado Hills, CA        "
12, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 30 MPG                                          |                              CITY, Black," 31,555","            $35,995          ","             $31,422          ", R21024, 7-Speed Automatic w/OD,Lexus ES ES 300h FWD, JTHBW1GG7H2138004,2017,"El Dorado Hills, CA        "
13, Front Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Cirrus White, 35 MPG                                          |                              CITY, Beige MB-Tex," 19,662","            $32,995          ","             $28,992          ", R21031, 7-Speed Auto-Shift Manual w/OD,Mercedes-Benz CLA 250 Front Wheel Drive, WDDSJ4EB7JN536137,2018,"El Dorado Hills, CA        "
14, AWD 4MATIC®, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Lunar Blue Metallic, 28 MPG                                          |                              CITY, Silk Beige MB-Tex," 40,688","            $49,995          ","             $45,922          ", R21035, 9-Speed Automatic w/OD,Acura MDX w/Advance Pkg AWD AWD, 5J8YD4H89JL024615,2018,"El Dorado Hills, CA        "
15, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Selenite Grey Metallic, 30 MPG                                          |                              CITY, Crystal Grey/Black," 34,811","            $53,945          ","             $49,622          ", R21037, 7-Speed Automatic w/OD,Mercedes-Benz GLC 350 AWD 4MATIC®, WDC0G5EB7JF406286,2018,"El Dorado Hills, CA        "
16, Rear Wheel Drive, Premium Unleaded V-6 3.5 L/213, Diamond Silver Metallic, 24 MPG                                          |                              CITY, Crystal Grey/Black Leather," 21,402","            $23,995          ","             $21,982          ", R21040, 7-Speed Automatic w/OD,Mercedes-Benz CLA 250 Front Wheel Drive, WDDSJ4EB1EN120932,2014,"El Dorado Hills, CA        "
17, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 34 MPG                                          |                              CITY, BLACK INSERTS," 22,561","            $46,575          ","             $41,995          ", R21041, 7-Speed Automatic w/OD,Mercedes-Benz C 300 Rear Wheel Drive, 55SWF8DBXKU295565,2019,"El Dorado Hills, CA        "
18, Rear Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 30 MPG                                          |                              CITY, Macchiato Beige/ Black MB-Tex," 11,856","            $47,385          ","             $41,286          ", R21042, 9-Speed Automatic w/OD,Mercedes-Benz GLC 300 Rear Wheel Drive, WDC0G4JB3K1001119,2019,"El Dorado Hills, CA        "
19, FWD, Regular Unleaded I-4 2.5 L/152, Pearl White, 38 MPG                                          |                              CITY, Charcoal," 91,991","            $27,792          ","             $26,312          ", R21048, 1-Speed CVT w/OD,Mercedes-Benz GLK 350 Rear Wheel Drive, WDCGG5HB0FG424074,2015,"El Dorado Hills, CA        "
0, AWD 4MATIC, Gas V6 3.5L/213, Palladium Silver Metallic, 21 MPG                                          |                              CITY, Black," 82,309",,"             $17,995          ", R21124, 7-Speed Automatic,Mercedes-Benz GLK 350 AWD 4MATIC®, WDCGG8HB6CF747189,2012,"El Dorado Hills, CA        "
1, Front Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Mountain Grey, 37 MPG                                          |                              CITY, Black MB-Tex," 8,365",,"             $32,995          ", R21122, 7-Speed Auto-Shift Manual w/OD,Mercedes-Benz CLA 250 Front Wheel Drive, WDDSJ4EB4KN699670,2019,"El Dorado Hills, CA        "
2, FWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Universe Blue Metallic, 38 MPG                                          |                              CITY, Ash," 67,940",,"             $22,995          ", R21123, 7-Speed Auto-Shift Manual w/OD,Mercedes-Benz CLA 250 FWD, WDDSJ4EB6EN033141,2014,"El Dorado Hills, CA        "
3, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 31 MPG                                          |                              CITY, SILK BEIGE MB T," 32,389",,"             $31,992          ", R21128, 7-Speed Automatic w/OD,Mercedes-Benz C 300W4 AWD 4MATIC®, 55SWF4KB9GU149256,2016,"El Dorado Hills, CA        "
4, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, designo Diamond White Metallic, 28 MPG                                          |                              CITY, Black," 38,059",,"             $38,952          ", R21112, 9-Speed Automatic w/OD,Mercedes-Benz GLC 300 AWD 4MATIC®, WDC0G4KB0HF154468,2017,"El Dorado Hills, CA        "
5, AWD 4MATIC, Intercooled Turbo Gas/Electric I-4 2.0 L/121, Lunar Blue Metallic,, Silk Beige/Black MB-Tex," 8,429",,Please Call for Price  , R21127, 7-Speed Automatic w/OD,Mercedes-Benz GLC 350e AWD 4MATIC®, WDC0G5EB7KF509483,2019,"El Dorado Hills, CA        "
6, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Palladium Silver Metallic, 34 MPG                                          |                              CITY, BLACK INSERTS," 42,920",,"             $31,992          ", R21125, 7-Speed Automatic w/OD,Mercedes-Benz C 300W RWD, 55SWF4JB6GU122940,2016,"El Dorado Hills, CA        "
7, RWD, Turbocharged Gas I6 3.0L/182, White, 33 MPG                                          |                              CITY, BLACK W RED STI," 79,081",,"             $21,922          ", R21126,,BMW 3 Series 335i RWD, WBA3A9G52DNP37318,2013,"El Dorado Hills, CA        "
0, AWD 4MATIC, Gas V6 3.5L/213, Palladium Silver Metallic, 21 MPG                                          |                              CITY, Black," 82,309",,"             $17,995          ", R21124, 7-Speed Automatic,Mercedes-Benz GLK 350 AWD 4MATIC®, WDCGG8HB6CF747189,2012,"El Dorado Hills, CA        "
1, Front Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Mountain Grey, 37 MPG                                          |                              CITY, Black MB-Tex," 8,365",,"             $32,995          ", R21122, 7-Speed Auto-Shift Manual w/OD,Mercedes-Benz CLA 250 Front Wheel Drive, WDDSJ4EB4KN699670,2019,"El Dorado Hills, CA        "
2, FWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Universe Blue Metallic, 38 MPG                                          |                              CITY, Ash," 67,940",,"             $22,995          ", R21123, 7-Speed Auto-Shift Manual w/OD,Mercedes-Benz CLA 250 FWD, WDDSJ4EB6EN033141,2014,"El Dorado Hills, CA        "
3, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 31 MPG                                          |                              CITY, SILK BEIGE MB T," 32,389",,"             $31,992          ", R21128, 7-Speed Automatic w/OD,Mercedes-Benz C 300W4 AWD 4MATIC®, 55SWF4KB9GU149256,2016,"El Dorado Hills, CA        "
4, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, designo Diamond White Metallic, 28 MPG                                          |                              CITY, Black," 38,059",,"             $38,952          ", R21112, 9-Speed Automatic w/OD,Mercedes-Benz GLC 300 AWD 4MATIC®, WDC0G4KB0HF154468,2017,"El Dorado Hills, CA        "
5, AWD 4MATIC, Intercooled Turbo Gas/Electric I-4 2.0 L/121, Lunar Blue Metallic,, Silk Beige/Black MB-Tex," 8,429",,Please Call for Price  , R21127, 7-Speed Automatic w/OD,Mercedes-Benz GLC 350e AWD 4MATIC®, WDC0G5EB7KF509483,2019,"El Dorado Hills, CA        "
6, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Palladium Silver Metallic, 34 MPG                                          |                              CITY, BLACK INSERTS," 42,920",,"             $31,992          ", R21125, 7-Speed Automatic w/OD,Mercedes-Benz C 300W RWD, 55SWF4JB6GU122940,2016,"El Dorado Hills, CA        "
7, RWD, Turbocharged Gas I6 3.0L/182, White, 33 MPG                                          |                              CITY, BLACK W RED STI," 79,081",,"             $21,922          ", R21126,,BMW 3 Series 335i RWD, WBA3A9G52DNP37318,2013,"El Dorado Hills, CA        "
