,Drivetrain,Engine,Exterior,HWY,Interior,Location,Mileage,Original Price,Sales Price,Stock #,Trans,Unnamed: 0,Vehicle Name,Vin #,Year
23, Rear Wheel Drive, Twin Turbo Premium Unleaded V-8 4.7 L/285, designo Diamond White Metallic, 26 MPG                                          |                              CITY, Saddle Brown / Black Leather,"El Dorado Hills, CA        "," 35,947","            $47,991          ","             $39,995          ", R20979, 9-Speed Automatic w/OD,3.0,Mercedes-Benz GLC 300 AWD 4MATIC®, WDC0G4KB8JV070443,2018
24, Front Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Mountain Grey, 37 MPG                                          |                              CITY, Crystal Grey MB-Tex,"El Dorado Hills, CA        "," 8,760","            $45,175          ","             $36,892          ", R20811, 7-Speed Auto-Shift Manual w/OD,4.0,Mercedes-Benz C 300 Rear Wheel Drive, 55SWF4JB3JU280062,2018
25, AWD 4MATIC®, Twin Turbo Premium Unleaded V-6 3.0 L/183, Obsidian Black Metallic, 23 MPG                                          |                              CITY, Black Leather,"El Dorado Hills, CA        "," 37,788","            $61,650          ","             $51,983          ", R20987, 9-Speed Automatic w/OD,5.0,Mercedes-Benz GLE 400 AWD 4MATIC®, 4JGDA5GB7KB212111,2019
26, Rear Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 34 MPG                                          |                              CITY, Black MB-Tex,"El Dorado Hills, CA        "," 8,314","            $39,095          ","             $34,332          ", R20990, 9-Speed Automatic w/OD,6.0,Mercedes-Benz CLA 250 Front Wheel Drive, WDDSJ4EB5KN714435,2019
27, Rear Wheel Drive, Premium Unleaded V-6 3.5 L/213, Black, 24 MPG                                          |                              CITY, Black MB-Tex,"El Dorado Hills, CA        "," 38,951","            $45,095          ","             $38,079          ", R20988, 7-Speed Automatic w/OD,7.0,Mercedes-Benz C 300 Rear Wheel Drive, 55SWF8DB9KU286789,2019
28, Rear Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Brilliant Blue Metallic, 30 MPG                                          |                              CITY, Crystal Grey MB-Tex,"El Dorado Hills, CA        "," 35,552","            $79,520          ","             $67,922          ", R20986, 7-Speed Automatic w/OD,8.0,Mercedes-Benz GLS 450 AWD 4MATIC®, 4JGDF6EE3KB205371,2019
29, Rear Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Diamond Silver Metallic, 28 MPG                                          |                              CITY, Silk Beige MB-Tex,"El Dorado Hills, CA        "," 27,301","            $33,995          ","             $26,992          ", R20992, 9-Speed Automatic w/OD,9.0,Mercedes-Benz C 350 Rear Wheel Drive, 55SWF4HB3GU152726,2016
30, Rear Wheel Drive, Premium Unleaded V-6 3.5 L/213, Lunar Blue, 29 MPG                                          |                              CITY, Silk Beige MB-Tex,"El Dorado Hills, CA        "," 33,324","            $69,995          ","             $64,322          ", R21005, 7-Speed Automatic w/OD,10.0,BMW 6 Series ALPINA B6 G/CP AWD AWD, WBA6D6C54GGK18191,2016
31, Rear Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, designo Cardinal Red Metallic, 28 MPG                                          |                              CITY, Silk Beige MB-Tex,"El Dorado Hills, CA        "," 22,377","            $54,991          ","             $49,222          ", R21011, 9-Speed Automatic w/OD,11.0,Mercedes-Benz CLS 550 Rear Wheel Drive, WDDLJ7DB3GA164982,2016
32, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 30 MPG                                          |                              CITY, Black,"El Dorado Hills, CA        "," 31,555","            $35,995          ","             $31,422          ", R21024, 7-Speed Automatic w/OD,12.0,Lexus ES ES 300h FWD, JTHBW1GG7H2138004,2017
33, Front Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Cirrus White, 35 MPG                                          |                              CITY, Beige MB-Tex,"El Dorado Hills, CA        "," 19,662","            $32,995          ","             $28,992          ", R21031, 7-Speed Auto-Shift Manual w/OD,13.0,Mercedes-Benz CLA 250 Front Wheel Drive, WDDSJ4EB7JN536137,2018
34, AWD 4MATIC®, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Lunar Blue Metallic, 28 MPG                                          |                              CITY, Silk Beige MB-Tex,"El Dorado Hills, CA        "," 40,688","            $49,995          ","             $45,922          ", R21035, 9-Speed Automatic w/OD,14.0,Acura MDX w/Advance Pkg AWD AWD, 5J8YD4H89JL024615,2018
35, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Selenite Grey Metallic, 30 MPG                                          |                              CITY, Crystal Grey/Black,"El Dorado Hills, CA        "," 34,811","            $53,945          ","             $49,622          ", R21037, 7-Speed Automatic w/OD,15.0,Mercedes-Benz GLC 350 AWD 4MATIC®, WDC0G5EB7JF406286,2018
36, Rear Wheel Drive, Premium Unleaded V-6 3.5 L/213, Diamond Silver Metallic, 24 MPG                                          |                              CITY, Crystal Grey/Black Leather,"El Dorado Hills, CA        "," 21,402","            $23,995          ","             $21,982          ", R21040, 7-Speed Automatic w/OD,16.0,Mercedes-Benz CLA 250 Front Wheel Drive, WDDSJ4EB1EN120932,2014
37, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 34 MPG                                          |                              CITY, BLACK INSERTS,"El Dorado Hills, CA        "," 22,561","            $46,575          ","             $41,995          ", R21041, 7-Speed Automatic w/OD,17.0,Mercedes-Benz C 300 Rear Wheel Drive, 55SWF8DBXKU295565,2019
38, Rear Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 30 MPG                                          |                              CITY, Macchiato Beige/ Black MB-Tex,"El Dorado Hills, CA        "," 11,856","            $47,385          ","             $41,286          ", R21042, 9-Speed Automatic w/OD,18.0,Mercedes-Benz GLC 300 Rear Wheel Drive, WDC0G4JB3K1001119,2019
39, FWD, Regular Unleaded I-4 2.5 L/152, Pearl White, 38 MPG                                          |                              CITY, Charcoal,"El Dorado Hills, CA        "," 91,991","            $27,792          ","             $26,312          ", R21048, 1-Speed CVT w/OD,19.0,Mercedes-Benz GLK 350 Rear Wheel Drive, WDCGG5HB0FG424074,2015
40, AWD 4MATIC, Gas V6 3.5L/213, Palladium Silver Metallic, 21 MPG                                          |                              CITY, Black,"El Dorado Hills, CA        "," 82,309",,"             $17,995          ", R21124, 7-Speed Automatic,0.0,Mercedes-Benz GLK 350 AWD 4MATIC®, WDCGG8HB6CF747189,2012
41, Front Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Mountain Grey, 37 MPG                                          |                              CITY, Black MB-Tex,"El Dorado Hills, CA        "," 8,365",,"             $32,995          ", R21122, 7-Speed Auto-Shift Manual w/OD,1.0,Mercedes-Benz CLA 250 Front Wheel Drive, WDDSJ4EB4KN699670,2019
42, FWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Universe Blue Metallic, 38 MPG                                          |                              CITY, Ash,"El Dorado Hills, CA        "," 67,940",,"             $22,995          ", R21123, 7-Speed Auto-Shift Manual w/OD,2.0,Mercedes-Benz CLA 250 FWD, WDDSJ4EB6EN033141,2014
43, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 31 MPG                                          |                              CITY, SILK BEIGE MB T,"El Dorado Hills, CA        "," 32,389",,"             $31,992          ", R21128, 7-Speed Automatic w/OD,3.0,Mercedes-Benz C 300W4 AWD 4MATIC®, 55SWF4KB9GU149256,2016
44, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, designo Diamond White Metallic, 28 MPG                                          |                              CITY, Black,"El Dorado Hills, CA        "," 38,059",,"             $38,952          ", R21112, 9-Speed Automatic w/OD,4.0,Mercedes-Benz GLC 300 AWD 4MATIC®, WDC0G4KB0HF154468,2017
45, AWD 4MATIC, Intercooled Turbo Gas/Electric I-4 2.0 L/121, Lunar Blue Metallic,, Silk Beige/Black MB-Tex,"El Dorado Hills, CA        "," 8,429",,Please Call for Price  , R21127, 7-Speed Automatic w/OD,5.0,Mercedes-Benz GLC 350e AWD 4MATIC®, WDC0G5EB7KF509483,2019
46, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Palladium Silver Metallic, 34 MPG                                          |                              CITY, BLACK INSERTS,"El Dorado Hills, CA        "," 42,920",,"             $31,992          ", R21125, 7-Speed Automatic w/OD,6.0,Mercedes-Benz C 300W RWD, 55SWF4JB6GU122940,2016
47, RWD, Turbocharged Gas I6 3.0L/182, White, 33 MPG                                          |                              CITY, BLACK W RED STI,"El Dorado Hills, CA        "," 79,081",,"             $21,922          ", R21126,,7.0,BMW 3 Series 335i RWD, WBA3A9G52DNP37318,2013
48, AWD 4MATIC, Gas V6 3.5L/213, Palladium Silver Metallic, 21 MPG                                          |                              CITY, Black,"El Dorado Hills, CA        "," 82,309",,"             $17,995          ", R21124, 7-Speed Automatic,0.0,Mercedes-Benz GLK 350 AWD 4MATIC®, WDCGG8HB6CF747189,2012
49, Front Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Mountain Grey, 37 MPG                                          |                              CITY, Black MB-Tex,"El Dorado Hills, CA        "," 8,365",,"             $32,995          ", R21122, 7-Speed Auto-Shift Manual w/OD,1.0,Mercedes-Benz CLA 250 Front Wheel Drive, WDDSJ4EB4KN699670,2019
50, FWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Universe Blue Metallic, 38 MPG                                          |                              CITY, Ash,"El Dorado Hills, CA        "," 67,940",,"             $22,995          ", R21123, 7-Speed Auto-Shift Manual w/OD,2.0,Mercedes-Benz CLA 250 FWD, WDDSJ4EB6EN033141,2014
51, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 31 MPG                                          |                              CITY, SILK BEIGE MB T,"El Dorado Hills, CA        "," 32,389",,"             $31,992          ", R21128, 7-Speed Automatic w/OD,3.0,Mercedes-Benz C 300W4 AWD 4MATIC®, 55SWF4KB9GU149256,2016
52, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, designo Diamond White Metallic, 28 MPG                                          |                              CITY, Black,"El Dorado Hills, CA        "," 38,059",,"             $38,952          ", R21112, 9-Speed Automatic w/OD,4.0,Mercedes-Benz GLC 300 AWD 4MATIC®, WDC0G4KB0HF154468,2017
53, AWD 4MATIC, Intercooled Turbo Gas/Electric I-4 2.0 L/121, Lunar Blue Metallic,, Silk Beige/Black MB-Tex,"El Dorado Hills, CA        "," 8,429",,Please Call for Price  , R21127, 7-Speed Automatic w/OD,5.0,Mercedes-Benz GLC 350e AWD 4MATIC®, WDC0G5EB7KF509483,2019
54, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Palladium Silver Metallic, 34 MPG                                          |                              CITY, BLACK INSERTS,"El Dorado Hills, CA        "," 42,920",,"             $31,992          ", R21125, 7-Speed Automatic w/OD,6.0,Mercedes-Benz C 300W RWD, 55SWF4JB6GU122940,2016
55, RWD, Turbocharged Gas I6 3.0L/182, White, 33 MPG                                          |                              CITY, BLACK W RED STI,"El Dorado Hills, CA        "," 79,081",,"             $21,922          ", R21126,,7.0,BMW 3 Series 335i RWD, WBA3A9G52DNP37318,2013
0, RWD, Gas V6 2.5L/152, Charcoal, 32 MPG                                          |                              CITY,,"Stockton, CA"," 157,858","$8,900",, P3392A, 6-Speed Automatic,0.0,Lexus IS 250 250, JTHBK262X75028035,2007
1, RWD, Gas V6 3.2L/195, Capri Blue Metallic, 28 MPG                                          |                              CITY,,"Stockton, CA"," 74,456","$9,999",, L5328A, 5-Speed Automatic w/OD,1.0,Mercedes-Benz E-Class 3.2L, WDBUF65J85A693548,2005
2, FWD, Regular Unleaded I-4 1.6 L/97, Chalk White, 36 MPG                                          |                              CITY, Beige,"Stockton, CA"," 24,026","$11,040",, P3423A, 6-Speed Automatic w/OD,2.0,Chevrolet Silverado 1500 LT 4WD, 1GCVKREC5EZ410142,2014
3, RWD, Turbocharged Gas I4 1.8L/110, Arctic White, 31 MPG                                          |                              CITY, Almond MB-Tex,"Stockton, CA"," 136,268","$11,988",, P3440, 7-Speed Automatic,3.0,Hyundai Accent SE, KMHCT4AE5HU362511,2017
4, FWD, Regular Unleaded I-4 1.8 L/110, Super Black, 37 MPG                                          |                              CITY, Charcoal,"Stockton, CA"," 23,821","$11,995",, P3349A, 1-Speed CVT w/OD,4.0,Mercedes-Benz C 250 With Navigation, WDDGF4HB6CA728789,2012
5, FWD, Regular Unleaded I-4 2.0 L/122, Silver, 38 MPG                                          |                              CITY, Black,"Stockton, CA"," 33,316","$12,988",, P3410, 6-Speed Auto-Shift Manual w/OD,5.0,Nissan Sentra SV, 3N1AB7AP2HL710117,2017
6, 4WD, Gas V8 4.4L/268, White, 18 MPG                                          |                              CITY,,"Stockton, CA"," 74,803","$12,988",, P3420, 6-Speed Automatic w/OD,6.0,Ford Focus SE, 1FADP3K26JL324170,2018
7, FWD, Regular Unleaded I-4 1.6 L/97, Century White, 36 MPG                                          |                              CITY, Black,"Stockton, CA"," 26,898","$12,995",, 5793A, 6-Speed Auto-Shift Manual w/OD,7.0,Land Rover Range Rover Sport HSE With Navigation & 4WD, SALSF25469A213372,2009
8, RWD, Turbocharged Gas I4 1.8L/110, Magnetite Black, 31 MPG                                          |                              CITY, Black MB Tex,"Stockton, CA"," 92,905","$13,488",, P3289, 7-Speed Automatic,8.0,Hyundai Veloster, KMHTC6AD2GU257832,2016
9, RWD, Turbocharged I4 2.0L/122, Thunder Gray ChromaFlair, 31 MPG                                          |                              CITY, Light Platinum w/Jet Black Accents,"Stockton, CA"," 89,244","$13,988",, P3276A, 6-Speed Automatic,9.0,Cadillac ATS Premium With Navigation, 1G6AE5SXXD0137372,2013
10, FWD, Regular Unleaded I-4 1.8 L/110, Super White, 36 MPG                                          |                              CITY, Ash,"Stockton, CA"," 38,364","$14,040",, P3391A, 1-Speed CVT w/OD,10.0,Honda Accord Sedan EX-L, 1HGCR2F80FA156555,2015
11, FWD, Gas/Electric I-4 2.0 L/122, Oxford White, 41 MPG                                          |                              CITY, Ebony,"Stockton, CA"," 33,558","$14,788",, P3437, 1-Speed CVT w/OD,11.0,Toyota Corolla LE, 2T1BURHE6JC989284,2018
12, 4WD, Regular Unleaded V-6 3.5 L/213,, 23 MPG                                          |                              CITY,,"Stockton, CA"," 137,431","$14,988",, 5759A, 6-Speed Automatic w/OD,12.0,Ford Explorer Limited 4WD, 1FM5K8F84EGA13808,2014
13, FWD, Regular Unleaded I-4 2.4 L/144, White, 36 MPG                                          |                              CITY,,"Stockton, CA"," 74,636","$14,988",, P3429, 1-Speed CVT w/OD,13.0,Ford Fusion Hybrid SE, 3FA6P0LU8HR232707,2017
14, FWD, Regular Unleaded I-4 2.5 L/152, Brilliant Silver, 38 MPG                                          |                              CITY, Charcoal,"Stockton, CA"," 22,025","$15,988",, p3441, 1-Speed CVT w/OD,14.0,Nissan Altima 2.5 SV, 1N4AL3AP7JC111627,2018
15, AWD, Regular Unleaded I-4 2.0 L/122, Magnetic Black, 30 MPG                                          |                              CITY, Charcoal,"Stockton, CA"," 24,991","$17,988",, P3404, 1-Speed CVT w/OD,15.0,Nissan Rogue Sport S AWD, JN1BJ1CR5JW264130,2018
16, AWD, Regular Unleaded I-4 2.5 L/152, Brilliant Silver, 32 MPG                                          |                              CITY, Charcoal,"Stockton, CA"," 36,398","$17,988",, P3436, 1-Speed CVT w/OD,16.0,Nissan Rogue SV AWD, KNMAT2MV7JP568882,2018
17, 4WD, Regular Unleaded V-6 3.5 L/213, White, 23 MPG                                          |                              CITY,,"Stockton, CA"," 103,135","$18,999",, 5821A, 6-Speed Automatic w/OD,17.0,Ford Explorer Limited 4WD, 1FM5K8F88EGC13235,2014
18, RWD, Regular Unleaded V-6 3.6 L/220, Granite Pearlcoat, 30 MPG                                          |                              CITY, Black,"Stockton, CA"," 27,961","$21,988",, P3398, 8-Speed Automatic w/OD,18.0,Dodge Challenger SXT, 2C3CDZAG1JH237647,2018
19, RWD, Regular Unleaded V-6 3.6 L/220, Gloss Black, 30 MPG                                          |                              CITY, Black,"Stockton, CA"," 38,623","$21,999",, P3444A, 8-Speed Automatic w/OD,19.0,Chrysler 300 300S, 2C3CCABGXHH612593,2017
20, FWD, Regular Unleaded I-4 2.5 L/152, Sonic Silver Metallic, 31 MPG                                          |                              CITY, Black,"Stockton, CA"," 33,748","$23,988",, P3430, 6-Speed Automatic w/OD,0.0,Mazda CX-5 Grand Touring With Navigation, JM3KFADM2J0325641,2018
21, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Cirrus White, 32 MPG                                          |                              CITY, Beige MB-Tex,"Stockton, CA"," 48,200","$23,988",, P3342, 7-Speed Auto-Shift Manual w/OD,1.0,Mercedes-Benz GLA 250 AWD 4MATIC®, WDCTG4GB2GJ192298,2016
22, 4WD, Regular Unleaded V-6 3.2 L/198, Granite Crystal Metallic Clearcoat, 27 MPG                                          |                              CITY, Black,"Stockton, CA"," 28,221","$24,988",, P3409, 9-Speed Automatic w/OD,2.0,Jeep Cherokee Limited 4WD, 1C4PJMDX0KD216632,2019
23, 4WD, Regular Unleaded I-4 2.4 L/144, Bright White Clearcoat, 25 MPG                                          |                              CITY, Black,"Stockton, CA"," 34,195","$24,988",, P3457, 9-Speed Automatic w/OD,3.0,Jeep Cherokee Trailhawk 4WD, 1C4PJMBBXJD569174,2018
24, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Cirrus White, 31 MPG                                          |                              CITY, Black MB-Tex,"Stockton, CA"," 31,502","$25,988",, P3428, 7-Speed Auto-Shift Manual w/OD,4.0,Mercedes-Benz GLA 250 AWD 4MATIC®, WDCTG4GB7HJ323842,2017
25, 4WD, Regular Unleaded V-6 3.2 L/198, Diamond Black Crystal Pearlcoat, 24 MPG                                          |                              CITY, Black,"Stockton, CA"," 13,995","$25,988",, P3425, 9-Speed Automatic w/OD,5.0,Jeep Cherokee Trailhawk 4WD, 1C4PJMBX9KD313718,2019
26, FWD, Gas V6 3.6L/217, Stellar Black Metallic, 28 MPG                                          |                              CITY, Jet Black,"Stockton, CA"," 38,611","$25,999",, P3445, 6-Speed Automatic w/Manual Shift,6.0,Cadillac XTS Luxury, 2G61M5S35J9158499,2018
27, RWD, Premium Unleaded V-8 5.0 L/302, Shadow Black, 25 MPG                                          |                              CITY, Ebony,"Stockton, CA"," 27,933","$26,988",, P3499A, 6-Speed Automatic w/OD,7.0,Ford Mustang GT, 1FA6P8CF0G5336884,2016
28, AWD, Regular Unleaded I-4 2.5 L/152, Machine Gray Metallic, 29 MPG                                          |                              CITY, Black,"Stockton, CA"," 15,444","$26,988",, 5854a, 6-Speed Automatic w/OD,8.0,Mazda CX-5 Grand Touring With Navigation & AWD, JM3KFBDL2H0106122,2017
29, 4WD, Regular Unleaded V-6 3.5 L/213, Gun Metallic, 26 MPG                                          |                              CITY, Charcoal,"Stockton, CA"," 28,524","$27,988",, P3431, 1-Speed CVT w/OD,9.0,Nissan Pathfinder SL 4WD, 5N1DR2MM7JC611400,2018
30, 4WD, Regular Unleaded V-6 3.2 L/198, Bright White Clearcoat, 27 MPG                                          |                              CITY, Black,"Stockton, CA"," 12,587","$27,999",, P3456, 9-Speed Automatic w/OD,10.0,Jeep Cherokee Limited 4WD, 1C4PJMDX3KD346775,2019
31, 4WD, Regular Unleaded V-8 5.7 L/345, Bright White Clearcoat, 21 MPG                                          |                              CITY, Diesel Gray/Black,"Stockton, CA"," 17,249","$28,988",, P3382, 8-Speed Automatic w/OD,11.0,Ram 1500 Classic SLT 4WD, 1C6RR7TTXKS510818,2019
32, 4WD, Regular Unleaded V-6 3.6 L/220, Bright White Clearcoat, 20 MPG                                          |                              CITY, Black,"Stockton, CA"," 41,035","$28,988",, P3435, 5-Speed Automatic w/OD,12.0,Jeep Wrangler Unlimited Sport 4WD, 1C4HJWDGXHL754270,2017
33, AWD 4MATIC, Twin Turbo Premium Unleaded V-6 3.0 L/183, Black, 22 MPG                                          |                              CITY, Black Leather,"Stockton, CA"," 39,996","$29,988",, P3424, 7-Speed Automatic w/OD,13.0,Mercedes-Benz M-Class ML 400 AWD 4MATIC®, 4JGDA5GB3FA578658,2015
34, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Black, 28 MPG                                          |                              CITY, Silk Beige MB-Tex,"Stockton, CA"," 28,094","$29,999",, P3375, 9-Speed Automatic w/OD,14.0,Mercedes-Benz GLC 300 AWD 4MATIC®, WDC0G4KBXGF007976,2016
35, 4WD, Regular Unleaded V-6 3.6 L/220, Bright White Clearcoat, 20 MPG                                          |                              CITY, Black,"Stockton, CA"," 24,432","$30,988",, P3413, 5-Speed Automatic w/OD,15.0,Jeep Wrangler Unlimited Sahara 4WD, 1C4HJWEG7HL754239,2017
36, 4WD, Regular Unleaded V-6 3.3 L,, 23 MPG                                          |                              CITY,,"Stockton, CA"," 24,998","$31,988",, P3453, 6-Speed Automatic w/OD,16.0,Ford F-150 XLT 4WD, 1FTEW1EB9JKE47985,2018
37, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 28 MPG                                          |                              CITY, Silk Beige MB-Tex,"Stockton, CA"," 29,540","$31,988",, P3359, 9-Speed Automatic w/OD,17.0,Mercedes-Benz GLC 300 AWD 4MATIC®, WDC0G4KB8GF024999,2016
38, AWD 4MATIC, Premium Unleaded V-6 3.5 L/213, Black, 22 MPG                                          |                              CITY, Black MB-Tex,"Stockton, CA"," 59,034","$31,988",, P3432, 7-Speed Automatic w/OD,18.0,Mercedes-Benz GLE 350 AWD 4MATIC®, 4JGDA5HBXGA770224,2016
39, AWD, Regular Unleaded V-6 3.6 L/220, DB Black Clearcoat, 25 MPG                                          |                              CITY, Black,"Stockton, CA"," 12,860","$31,999",, P3386, 8-Speed Automatic w/OD,19.0,Dodge Durango GT Plus AWD, 1C4RDJDG5KC559778,2019
40, 4WD, Regular Unleaded V-8 5.7 L/345, Billet Silver Metallic Clearcoat, 21 MPG                                          |                              CITY, Black,"Stockton, CA"," 24,283","$32,988",, P3401, 8-Speed Automatic w/OD,0.0,Ram 1500 Big Horn/Lone Star 4WD, 1C6SRFBT4KN667627,2019
41, 4WD, Twin Turbo Regular Unleaded V-6 3.5 L/213, Ingot Silver Metallic, 23 MPG                                          |                              CITY, Medium Earth Gray,"Stockton, CA"," 18,677","$32,988",, P3427,,1.0,Ford F-150 XLT 4WD, 1FTEW1EG3JKE48321,2018
42, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 28 MPG                                          |                              CITY, Black MB-Tex,"Stockton, CA"," 22,395","$34,488",, P3443, 9-Speed Automatic w/OD,2.0,Mercedes-Benz GLC 300 AWD 4MATIC®, WDC0G4KB2HF123075,2017
43, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, White, 30 MPG                                          |                              CITY,,"Stockton, CA"," 45,051","$34,988",, 5568A, 9-Speed Automatic w/OD,3.0,Mercedes-Benz E 300, WDDZF4JB3HA028724,2017
44, RWD, Premium Unleaded V-6 3.5 L/213,, 24 MPG                                          |                              CITY,,"Stockton, CA"," 27,888","$35,988",, P3459, 7-Speed Automatic w/OD,4.0,Mercedes-Benz GLE 350, 4JGDA5JB9GA790135,2016
45, AWD, Gas V6 3.6L/222, Radiant Silver Metallic, 25 MPG                                          |                              CITY, Sahara Beige,"Stockton, CA"," 26,053","$36,988",, P3417, 8-Speed Automatic,5.0,Cadillac XT5 Premium Luxury AWD AWD, 1GYKNFRS0KZ130547,2019
46, AWD, Regular Unleaded V-8 5.6 L/339, Super Black, 18 MPG                                          |                              CITY, Charcoal,"Stockton, CA"," 22,691","$37,988",, P3418, 7-Speed Automatic w/OD,6.0,Nissan Armada SL With Navigation & AWD, JN8AY2NC4KX509731,2019
47, AWD 4MATIC, Premium Unleaded V-6 3.5 L/213,, 22 MPG                                          |                              CITY,,"Stockton, CA"," 21,531","$37,999",, P3458, 7-Speed Automatic w/OD,7.0,Mercedes-Benz GLE 350 AWD 4MATIC®, 4JGDA5HB1GA724944,2016
48, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Lunar Blue Metallic, 33 MPG                                          |                              CITY, Silk Beige MB-Tex,"Stockton, CA"," 7,081","$38,499",, L5003, 9-Speed Automatic w/OD,8.0,Mercedes-Benz C 300, 55SWF4JB0JU271349,2018
49, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 30 MPG                                          |                              CITY, Black MB-Tex,"Stockton, CA"," 31,167","$39,988",, 5710A, 9-Speed Automatic w/OD,9.0,Mercedes-Benz E 300, WDDZF4JB0JA342143,2018
50, 4WD, Gas/Ethanol V8 5.3L/, Black, 22 MPG                                          |                              CITY, Jet Black,"Stockton, CA"," 38,892","$39,999",, P3454, 6-Speed Automatic,10.0,Chevrolet Suburban LT 4WD, 1GNSKHKC2JR334737,2018
51, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Black, 28 MPG                                          |                              CITY, Black MB-Tex,"Stockton, CA"," 6,305","$39,999",, P3360, 9-Speed Automatic w/OD,11.0,Mercedes-Benz GLC 300 AWD 4MATIC®, WDC0G4KB3JV036510,2018
52, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 27 MPG                                          |                              CITY, Black MB-Tex,"Stockton, CA"," 29,640","$41,988",, P3438, 9-Speed Automatic w/OD,12.0,Mercedes-Benz GLC 300 AWD 4MATIC®, WDC0J4KB3HF189782,2017
53, 4WD, Gas/Ethanol V8 5.3L/, Silver Ice Metallic, 21 MPG                                          |                              CITY, Cocoa/Dune,"Stockton, CA"," 20,366","$42,988",, P3402, 6-Speed Automatic,13.0,Chevrolet Tahoe LT 4WD, 1GNSKBKC7KR121703,2019
54, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, designo Cardinal Red Metallic, 34 MPG                                          |                              CITY, Silk Beige MB-Tex,"Stockton, CA"," 7,839","$43,995",, L5335, 9-Speed Automatic w/OD,14.0,Mercedes-Benz C 300, 55SWF8DB4KU285193,2019
55, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Black, 34 MPG                                          |                              CITY, Black MB-Tex,"Stockton, CA"," 12,663","$44,375",, L5473, 9-Speed Automatic w/OD,15.0,Mercedes-Benz C 300, 55SWF8DB5KU298714,2019
56, 4WD, Intercooled Turbo Diesel V-8 6.7 L/406, Ingot Silver Metallic,  MPG                                          |                              CITY, Black,"Stockton, CA"," 36,022","$44,988",, P3455, 6-Speed Automatic w/OD,16.0,Ford Super Duty F-250 SRW XLT 4WD, 1FT7W2BT6JEB91007,2018
57, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Mojave Silver Metallic, 27 MPG                                          |                              CITY, Black MB-Tex,"Stockton, CA"," 7,628","$46,835",, L5260, 9-Speed Automatic w/OD,17.0,Mercedes-Benz GLC 300, WDC0G4JB0KV122800,2019
58, RWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, designo Cardinal Red, 27 MPG                                          |                              CITY, Porcelain / Black Nappa Leather,"Stockton, CA"," 28,287","$53,988",, P3315, 7-Speed Automatic w/OD,18.0,Mercedes-Benz SL 400, WDDJK6FA4GF039835,2016
59, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Black, 30 MPG                                          |                              CITY, Black MB-Tex,"Stockton, CA", 0,"$60,555",, L5366, 9-Speed Automatic w/OD,19.0,Mercedes-Benz E 300, WDDZF4JB3KA552267,2019
